1.511099100928525285e+00,-5.600873292883134374e-02,-3.771254631604708529e-01
1.499176206989767834e+00,-1.299171280185680566e-01,-3.749036909838830423e-01
1.485051877308488866e+00,-2.253387492402717240e-01,-3.657137158599893523e-01
1.470552691456119998e+00,-3.211512305072304341e-01,-3.580651355462917129e-01
1.456428169108162196e+00,-4.039038129025772084e-01,-3.594373372665481403e-01
1.436100684349391976e+00,5.243036958750790788e-02,1.782632670868090352e-01
1.429996249461983338e+00,-1.740277543201135257e-02,1.844694099340316862e-01
1.422366843555322946e+00,-1.075655402329452198e-01,1.908420841542908530e-01
1.415719815055195729e+00,-1.977516493152201571e-01,1.908129973244193367e-01
1.409995474524080361e+00,-2.746030557073518286e-01,1.911793414562014126e-01
1.399420755157636975e+00,-3.584645756549623696e-01,1.844526451481376117e-01
1.372621126618032150e+00,-4.250602089210210321e-01,1.831560302964174713e-01
1.335527637629959852e+00,-5.129827726379233566e-01,1.893560558104558644e-01
1.302871110838506041e+00,-5.967665064063927272e-01,1.828244242350525739e-01
1.270439706789380008e+00,-6.760337492237574741e-01,1.837425078652682453e-01
1.411453832785503737e+00,1.066509816981515701e-01,-1.754580681121379881e-01
1.411143877477953446e+00,4.462751397919365037e-02,-1.682113885078565518e-01
1.410520712156264400e+00,-4.459096869860404433e-02,-1.612134987855745050e-01
1.409594930850153416e+00,-1.271294639121068326e-01,-1.614887893835444677e-01
1.408999894250297702e+00,-2.104037426121060095e-01,-1.552158756974552634e-01
1.240069911698011618e+00,-7.073565436202352563e-01,-2.961837649939331740e-01
1.193157839207476867e+00,-7.649231760846119110e-01,-3.011236121425939771e-01
1.131599805623852761e+00,-8.423331146107259082e-01,-2.991142000665725775e-01
1.077694055860557443e+00,-9.084156939703610378e-01,-3.050905586906492717e-01
1.016789800963669110e+00,-9.831055341041563533e-01,-3.117163968485733294e-01
1.090519254462905208e+00,8.900299419881921859e-01,-7.724788206580227024e-02
1.126932060108297495e+00,8.346267277201289136e-01,-7.709403526906191684e-02
1.179841138429800207e+00,7.543314732832149261e-01,-8.381460814257943315e-02
1.227129632620263866e+00,6.823932271361977664e-01,-8.403857888586255265e-02
1.269331781380705237e+00,6.184019070231192572e-01,-9.123962319744947924e-02
1.355784671043230194e+00,9.033164810739054140e-02,3.178335780734096727e-01
1.353694015926189653e+00,2.333378741334608125e-02,3.100060439606978080e-01
1.348417078731364960e+00,-6.312708164018987489e-02,3.089904721917365316e-01
1.345185238356941149e+00,-1.428445825851816231e-01,3.022990128401136789e-01
1.342186493357557575e+00,-2.163261731344460759e-01,2.962004540427915500e-01
9.811126997295077645e-01,6.584560840886325428e-01,-5.369384686085999780e-02
1.037491515734454195e+00,5.915715315287747300e-01,-6.001450455262161143e-02
1.097840682761280551e+00,5.199663860133750815e-01,-6.681131814670249192e-02
1.164061577420199223e+00,4.433486982180959712e-01,-6.843637608529525018e-02
1.208681377883223051e+00,3.916252415096312944e-01,-6.982465151972011563e-02
1.228959183663250299e+00,1.404378914732252182e-01,-2.689236112502125034e-02
1.251377059159129779e+00,6.367737296276922143e-02,-3.335481529212646484e-02
1.274457419342111208e+00,-1.542980827978100884e-02,-4.011750227611825953e-02
1.300420633187154396e+00,-1.041393553798783955e-01,-4.733606962622573244e-02
1.319356758238971805e+00,-1.702854208296025740e-01,-5.461985034827906982e-02
1.046249322197216225e+00,-6.849725328685299930e-01,-5.683178332358242157e-02
1.015648363777930996e+00,-7.614547474111966752e-01,-6.977473955959130614e-02
9.831016069131999213e-01,-8.429261211596629222e-01,-8.336632081319754473e-02
9.450692357686963918e-01,-9.390221197976303946e-01,-9.801240561533618167e-02
9.227946382357697930e-01,-1.000275661369894653e+00,-9.970593152755460875e-02
9.128840601930410248e-01,6.432972386192848946e-01,-4.537781517351151955e-02
9.671722717828469262e-01,5.801539422167439897e-01,-5.126941875262066434e-02
1.025231415335929430e+00,5.126255141747534383e-01,-5.756757140849524251e-02
1.090104738791623173e+00,4.408791230474909395e-01,-5.335479621645589782e-02
1.131658135913339525e+00,3.918240471539515823e-01,-6.006062392013795936e-02
